user_id,matched_user_id,action,timestamp,text_score,mbti_score,location_score
U001,U081,1,2026-01-09 18:44:00,11.344289796738721,100,30
U001,U088,0,2026-01-05 14:20:00,7.2535100766510245,50,30
U001,U061,0,2026-04-16 22:13:00,2.8290669881237136,50,30
U001,U013,0,2026-06-06 15:55:00,12.801027707686169,50,30
U001,U082,1,2026-01-16 22:08:00,1.7076940701164882,50,30
U001,U006,0,2026-05-24 10:42:00,1.6831802009479435,50,30
U001,U003,0,2026-04-07 10:11:00,13.829135348937028,50,30
U001,U026,0,2026-05-17 10:34:00,7.2720376832978415,50,30
U002,U086,0,2026-05-04 06:15:00,3.6850207541357456,50,30
U002,U003,0,2026-03-18 07:19:00,16.012245157349447,50,30
U002,U061,1,2026-06-30 06:44:00,45.80697998056393,50,30
U002,U065,0,2026-03-23 15:22:00,9.395263887079441,50,30
U002,U042,0,2026-03-12 09:07:00,34.4275794188046,50,30
U002,U009,1,2026-05-20 12:57:00,14.280257919659062,100,30
U002,U041,1,2026-03-30 04:18:00,17.593009585859402,50,30
U002,U029,0,2026-01-21 11:59:00,6.783848062750216,50,30
U003,U044,0,2026-05-24 22:17:00,8.700378260141838,50,30
U003,U096,0,2026-06-07 23:37:00,17.675213066825112,50,30
U003,U021,0,2026-01-13 21:57:00,12.766758464226156,50,30
U003,U069,0,2026-06-13 07:03:00,17.755568344029058,100,30
U003,U032,0,2026-03-26 22:30:00,11.413444661856003,50,30
U003,U035,0,2026-02-05 00:35:00,15.804177956845223,50,30
U003,U015,1,2026-02-10 13:41:00,4.125561762325525,100,30
U003,U059,1,2026-05-02 15:41:00,10.025050127279014,50,30
U004,U003,1,2026-06-16 18:14:00,18.03722901222453,50,100
U004,U012,0,2026-01-10 05:26:00,33.40119815212021,50,100
U004,U074,1,2026-02-15 01:53:00,34.21572357334638,50,30
U004,U091,0,2026-05-07 05:59:00,17.836688785091493,50,30
U004,U025,0,2026-03-16 01:00:00,27.84177083217378,50,30
U004,U051,0,2026-06-04 03:59:00,10.18908642522501,100,30
U004,U065,1,2026-03-14 14:41:00,22.801185833947244,50,30
U004,U089,0,2026-05-07 04:54:00,19.39614306728299,50,30
U005,U025,0,2026-03-07 22:11:00,5.710983497159768,50,30
U005,U031,1,2026-03-28 09:36:00,31.99965494576073,50,30
U005,U046,0,2026-02-19 05:39:00,8.323272331660512,50,30
U005,U018,1,2026-04-14 13:32:00,14.583683189644947,100,30
U005,U097,1,2026-04-13 21:06:00,19.347120881067607,100,100
U005,U090,0,2026-02-05 15:20:00,4.103456230066261,50,30
U005,U056,1,2026-01-02 08:24:00,10.7954080356564,50,30
U005,U014,0,2026-03-10 10:19:00,12.991521915816412,50,30
U006,U047,0,2026-01-31 14:19:00,19.96476986714852,50,100
U006,U070,0,2026-06-25 16:59:00,16.00657876766913,50,30
U006,U017,1,2026-06-30 09:44:00,14.07050243428615,50,30
U006,U037,0,2026-03-17 11:39:00,13.662585890892004,100,30
U006,U095,0,2026-02-04 15:09:00,17.704690403116178,50,100
U006,U054,0,2026-06-05 11:26:00,36.56727404978067,50,30
U006,U035,0,2026-05-01 17:51:00,18.675289550071412,50,30
U006,U069,0,2026-02-25 07:43:00,12.562142711550994,50,30
U007,U046,0,2026-05-25 03:03:00,15.94038314659717,50,30
U007,U049,1,2026-05-10 06:36:00,28.830159210492084,50,30
U007,U081,0,2026-02-12 10:54:00,7.228351249208808,50,30
U007,U076,0,2026-01-30 21:13:00,32.147631299205145,50,30
U007,U011,0,2026-05-06 02:57:00,8.18537327883038,50,30
U007,U025,0,2026-01-15 14:08:00,20.74410073562958,50,30
U007,U093,1,2026-04-27 18:03:00,12.330570837494822,100,30
U007,U005,0,2026-06-22 09:46:00,22.471529903078864,50,30
U008,U090,0,2026-03-30 22:04:00,18.448058433258133,50,30
U008,U055,1,2026-01-16 02:59:00,28.60806547145059,50,100
U008,U014,0,2026-03-15 13:11:00,5.642274254381428,50,30
U008,U018,1,2026-06-14 23:41:00,23.349022508992658,70,30
U008,U017,1,2026-04-06 12:28:00,12.367025847511702,50,30
U008,U091,1,2026-04-07 12:05:00,24.371378340334292,50,30
U008,U087,0,2026-06-19 17:08:00,7.964213711284879,50,30
